['ignore', 'predAcceleration', 'leaderAcceleration', 'predSpeedDiff', 'leaderSpeedDiff', 'gapDist', 'egoAccelerationZ', 'egoSpeed', 'egoLoc', 'predSpeed', 'leaderSpeed', 'predLoc', 'isCollision', 'aDes', 'ignore']
[0, 4.05676705640462, 4.056766970240024, -0.07080063238056968, -0.27032691194409136, -0.45078570042946486, 4.056767065909668, 20.159314812495975, 131.2411878299666, 20.18667342933633, 20.429641724440064, 138.37999865690466, 0, 5.071926714647429, 0]
[0, 4.0567670420986595, 4.0567669558922335, -0.02706215559464967, -0.27032691194408737, -0.2633339027374103, 4.056767051555203, 20.19899576505468, 131.44334678260634, 20.22635438189504, 20.469322676998768, 138.58243117615683, 0, 4.69346959991166, 0]
[0, 4.056767027872814, 4.056766941667228, -0.021968928345697084, -0.27032691194408737, -0.34329114327258525, 4.056767037368245, 20.23867671761232, 131.64590251640664, 20.266035334453743, 20.50900362955641, 138.7852604765696, 0, 4.8101324917948, 0]
[0, 4.056767013612411, 4.056766927412622, -0.045259224930888756, -0.27032691194409136, -0.2901719998866444, 4.056767023170107, 20.278357670171026, 131.8488550313675, 20.305716287011386, 20.54868458211512, 138.98848655814294, 0, 4.77015126331344, 0]
[0, 4.056766999341093, 4.0567669132243305, -0.08963212684184908, -0.27032691194355846, -0.27532770157602127, 4.056767008929428, 20.3180386227292, 132.05220432748888, 20.345397239570094, 20.58836553467276, 139.19210942087685, 0, 4.830351022370443, 0]
[0, 4.056766985156517, 4.056766899101377, -0.040568129979755355, -0.27032691194409136, -0.30477991344035216, 4.056766994776329, 20.357719575287376, 132.25595040477074, 20.3850781921288, 20.62804648723147, 139.39612906477117, 0, 4.784376621732473, 0]
[0, 4.056766971048091, 4.056766884977041, -0.057336888095470606, -0.2703269119440953, -0.3362864035542293, 4.056766980701187, 20.39740052784502, 132.46009326321308, 20.42475914468644, 20.667727439789115, 139.60054548982598, 0, 4.865738026958314, 0]
[0, 4.056766956995485, 4.056766870870947, 0.009749108967624985, -0.27032691194409136, -0.5646460466361732, 4.056766966650263, 20.437081480403727, 132.6646329028159, 20.464440097244086, 20.707408392347816, 139.80535869604125, 0, 5.0998949817025006, 0]
[0, 4.056766942931837, 4.056766856860753, -0.06185392986475881, -0.27032691194409136, -0.24441365735662615, 4.056766952663325, 20.47676243296137, 132.8695693235792, 20.50412104980279, 20.747089344905458, 140.01056868341703, 0, 4.729172796351129, 0]
[0, 4.056766928941185, 4.056766843043527, -0.07103951975732684, -0.27032691194408737, -0.31790992099417925, 4.056766938788561, 20.516443385519015, 133.07490252550303, 20.543802002360433, 20.7867702974631, 140.2161754519533, 0, 4.862547859012147, 0]
[0, 4.056766914945121, 4.056766829025941, -0.030641534676157028, -0.27032691194409136, -0.3880657933206786, 4.056766924778446, 20.556124338076653, 133.28063250858742, 20.583482954918075, 20.826451250020746, 140.42217900165, 0, 4.897185150118965, 0]
[0, 4.0567669010257505, 4.056766815067662, 0.03066770238017168, -0.27032691194409136, -0.36389139890627964, 4.056766910879832, 20.595805290634296, 133.4867592728323, 20.62316390747572, 20.866132202578388, 140.62857933250726, 0, 4.743445273419162, 0]
[0, 4.0567668872129845, 4.0567668012306255, -0.11979132310872613, -0.27032691194408737, -0.2811883580651969, 4.056766896998215, 20.63548624319194, 133.6932828182378, 20.662844860033363, 20.90581315513603, 140.83537644452505, 0, 4.896454433740599, 0]
[0, 4.056766873325818, 4.056766787447969, -0.01920354485838205, -0.27032691194408737, -0.2954773492633539, 4.056766883156342, 20.675167195749584, 133.9002031448039, 20.702525812591006, 20.945494107693673, 141.04257033770344, 0, 4.729415195257, 0]
[0, 4.056766859452169, 4.056766773678837, -0.020406831957953852, -0.27032691194408737, -0.29600430616547974, 4.056766869319555, 20.714848148307226, 134.10752025253066, 20.742206765148648, 20.985175060251315, 141.25016101204244, 0, 4.732515461168579, 0]
[0, 4.056766845660507, 4.056766759861501, -0.06992027197661549, -0.27032691194409136, -0.16693513932344806, 4.0567668554520635, 20.75452910086487, 134.31523414141813, 20.781887717706294, 21.02485601280896, 141.4581484675421, 0, 4.622028224276587, 0]
[0, 4.056766831796652, 4.0567667459760886, -0.06640155919733401, -0.27032691194409136, -0.3383219759053677, 4.05676684159606, 20.79421005342251, 134.5233448114663, 20.82156867026394, 21.064536965366603, 141.66653270420244, 0, 4.886038837330294, 0]
[0, 4.056766817912318, 4.056766732140815, -0.06217954852387867, -0.27032691194409136, -0.345041439322342, 4.056766827840573, 20.833891005980156, 134.73185226267526, 20.86124962282158, 21.10421791792425, 141.87531372202352, 0, 4.888691472155529, 0]
[0, 4.056766804206764, 4.056766718412422, -0.07324964106802695, -0.27032691194409136, -0.3182531005339556, 4.056766814021902, 20.8735719585378, 134.940756495045, 20.90093057537922, 21.143898870481888, 142.08449152100536, 0, 4.867255642260711, 0]
[0, 4.056766790357836, 4.056766704677479, 0.0021609227415100734, -0.27032691194409136, -0.2560244241326214, 4.056766800248582, 20.91325291109544, 135.15005750857563, 20.940611527936863, 21.18357982303953, 142.29406610114805, 0, 4.62684247755098, 0]
[0, 4.056766776593478, 4.056766690814786, -0.0563874331289585, -0.2703269119440953, -0.3583396152048003, 4.056766786407648, 20.952933863653083, 135.35975530326715, 20.980292480494505, 21.223260775597176, 142.50403746245155, 0, 4.898773188163596, 0]
[0, 4.056766762772068, 4.056766677111156, -0.04914691734558974, -0.27032691194409136, -0.19499600632737102, 4.056766772585034, 20.99261481621073, 135.5698498791196, 21.01997343305215, 21.262941728154818, 142.71440560491595, 0, 4.6271832355144955, 0]
[0, 4.05676674895039, 4.056766663238448, 0.03403523365546741, -0.27032691194302555, -0.0664968425928728, 4.056766758728084, 21.032295768768375, 135.780341236133, 21.059654385609793, 21.302622680711398, 142.92517052854132, 0, 4.267470815060953, 0]
[0, 4.056766735071586, 4.056766649397848, -0.07306312322962638, -0.27032691194302555, -0.30103269970678553, 4.056766744885988, 21.071976721326013, 135.99122937430744, 21.099335338167435, 21.34230363326904, 143.13633223332766, 0, 4.839710628335858, 0]
[0, 4.0567667212613365, 4.056766635500233, -0.03911841488801824, -0.27032691194302555, -0.4172322878514056, 4.0567667309359745, 21.111657673883656, 136.20251429364288, 21.139016290725078, 21.381984585826682, 143.34789071927497, 0, 4.9592213813184856, 0]
